Id,Label,nb_retweets,nb_retweeted,modularity_class,pageranks,Modularity Class_08,Modularity Class_10-selected
961997551015682049,,212,3884,4,0.000341,6,4
329294962,,456,2689,4,0.000616,7,4
1030824102070808582,,10123,9378,4,0.007024,3,4
926309671773683712,,778,3076,4,0.000711,7,4
20329672,,142,3635,4,0.000399,3,4
59386332,,2149,6700,4,0.001143,7,4
1369996615428108291,,89,3767,4,0.000494,4,4
25081451,,15244,4004,4,0.010607,6,4
885131602677858305,,265,537,4,0.000305,4,4
1170216594414243840,,819,4641,4,0.001016,6,4
710844287341170688,,25,19304,4,0.001976,4,4
543799267,,96,10626,4,0.001426,7,4
20068053,,211,9617,4,0.001298,3,4
1203501231282565120,,82,32998,4,0.003625,6,4
3140662712,,132,19276,4,0.000822,7,4
1283540598427983872,,3974,522,4,0.003762,4,4
20582958,,20,26103,4,0.001242,6,4
3459051,Greenpeace,786,62998,4,0.003025,3,4
214708464,,5,2319,4,0.000351,7,4
952636350158819328,UK/Pro-activist,23183,2282,4,0.01921,4,4
1293652983129964545,,21,2385,4,0.000455,7,4
19539716,,94,36715,4,0.00119,4,4
704798725747531776,CA/Pro,11256,6875,4,0.005839,7,4
1006419421244678144,GretaThunberg,248,304671,4,0.006383,7,4
3189885294,,743,974,4,0.000461,7,4
904408999,,3907,27463,4,0.002251,4,4
2358617670,,22,1754,4,0.00032,7,4
1404797639040843784,,2366,1611,4,0.001165,4,4
956250134786002944,ClimateBen,461,176788,4,0.00374,4,4
2609500814,,2467,2233,4,0.001339,4,4
35692915,,18771,3830,4,0.012379,7,4
27371671,,511,2146,4,0.000572,7,4
126789549,,50,1571,4,0.000422,7,4
17829133,,117,1947,4,0.000324,7,4
1320260630658441217,,20,761,4,0.000336,7,4
1488103879061483522,,2931,845,4,0.001919,6,4
2338275336,,3985,3186,4,0.00271,7,4
996423161053876224,,4787,981,4,0.004266,4,4
1197975109912449026,,742,913,4,0.000377,6,4
1131490810770403329,,85,3540,4,0.00032,6,4
284002280,,2159,1598,4,0.001638,4,4
86410896,,727,619,4,0.001064,7,4
1087723402226487297,,171,5781,4,0.001057,7,4
1329248459191410688,,332,578,4,0.000448,4,4
830331048223469568,,851,903,4,0.00038,4,4
1451686290,,1754,1023,4,0.001704,4,4
102187929,,13,1016,4,0.000303,7,4
16958346,,97,76831,4,0.003338,4,4
16220555,,1786,985,4,0.001472,7,4
1159445850730455045,,3047,779,4,0.001663,6,4
15088481,,,,4,0.002157,3,4
1320250946916651015,,92,15583,4,0.000713,4,4
1370404690194731016,,28,7797,4,0.000587,4,4
950477244,PaulEDawson,190,145683,4,0.006234,4,4
1327843160,,,,4,0.000547,6,4
436006103,,108,4178,4,0.000597,6,4
931407961452359686,,561,9512,4,0.000853,4,4
766072848268091392,,3055,14519,4,0.002296,6,4
87080308,,175,7888,4,0.001252,6,4
800285348261556224,,1520,10457,4,0.001183,4,4
937972724563173376,,189,2684,4,0.000293,6,4
17662250,,112,6569,4,0.000373,4,4
456865788,,34,15834,4,0.001188,4,4
963157886,,375,10168,4,0.001275,6,4
17793878,,57,13525,4,0.000571,4,4
14050550,,32,19978,4,0.001359,6,4
1045360120987701248,,2497,22253,4,0.003292,4,4
384923143,,3555,49387,4,0.004348,6,4
75742264,,2643,67605,4,0.001853,6,4
2184934963,ECOWARRIORSS,7974,168502,4,0.008143,4,4
1200722335,,507,2170,4,0.000412,4,4
2562240601,,5087,16341,4,0.003512,6,4
1206280701202620417,,3236,694,4,0.002868,4,4
2909713709,,443,604,4,0.000468,4,4
105871249,,982,1674,4,0.000326,6,4
1874840533,,509,1884,4,0.00035,4,4
114040486,,233,3492,4,0.000353,6,4
24457744,,75,9465,4,0.000285,4,4
43092107,,51,2892,4,0.000398,6,4
1348842700833918976,,1625,1621,4,0.00258,4,4
237244779,,673,3614,4,0.000784,4,4
2527904352,,2339,3957,4,0.000594,6,4
3971883682,,493,1366,4,0.000637,4,4
734755845808984068,,364,978,4,0.000471,6,4
709986828066144257,,2544,2058,4,0.002226,6,4
1109451200724914181,,4628,1066,4,0.003862,6,4
727316106843574272,,1670,935,4,0.001245,6,4
1134059457191776257,vanessa_vash,2067,34783,4,0.003282,2,4
110396781,,,,4,0.000494,2,4
1045311759660257280,,156,12871,4,0.000835,4,4
1053768884732547072,,165,9256,4,0.001176,2,4
2187350806,,223,6736,4,0.000814,2,4
1214456673605165056,,1173,6948,4,0.001492,2,4
1008688766062661632,,1296,7017,4,0.001357,2,4
1097428190480531457,,287,7173,4,0.000962,2,4
1067109570231889921,,313,5115,4,0.000722,2,4
1208072844032258048,,709,2640,4,0.000897,2,4
1071817859414806528,,60,4386,4,0.000558,7,4
