user_id,original_author,nb_retweeted
2654,19658826,3
3832,486842125,3
12301,824720523904978944,2
12917,2944953687,2
13263,34936539,2
13263,1433167613824323588,2
20503,18469669,3
20503,927604589909733376,3
69053,1639748756,2
69583,1215462115592560640,3
483223,2188359224,2
659883,15414356,2
659883,44170913,2
668563,1215462115592560640,2
690293,592730371,2
715283,2474749586,3
743203,963957084,6
759126,23303713,2
797835,16933019,2
797835,237244779,3
797975,15129265,3
797975,344395626,3
797975,1019974187975430144,3
797975,1066521202519416833,3
1044241,751475447897227264,2
1171621,34317032,2
1171621,420100653,6
1286821,33773592,2
1709921,15300187,3
2063181,18080108,7
2063181,21150492,5
2207861,15393123,2
2224271,53435986,3
2276201,1050013960169316352,2
2315131,2853461537,2
2315131,927604589909733376,2
2467791,246980471,2
2986671,260478229,2
3062691,1639748756,2
3459051,7009202,2
3459051,17062028,2
3533231,79749258,2
3533231,608310777,3
3554911,33773592,2
3630501,272566480,2
3630501,326369670,2
3943871,14362873,2
4077671,3459051,3
4214321,608310777,2
4218881,38475395,2
4755321,44170913,2
4755321,306616453,2
4755321,404700477,2
4902991,2984958705,2
4937061,47379354,2
4937061,1726074810,3
4937061,2187906247,2
4937061,1097219137393344515,2
4970411,327165636,2
5045421,38475395,2
5045421,1215462115592560640,2
5149711,1445053273,2
5160461,19145055,2
5411042,181912222,2
5411042,1093261681801789447,2
5477342,159955958,2
5477342,299273962,3
5618162,755991,3
5618162,608310777,13
5647632,2474749586,3
5676952,127881681,2
5718732,18137749,2
5774252,60779696,3
5774252,68128023,2
5774252,92932981,2
5774252,2881494871,2
5774252,919008127793500160,2
5774252,1089151295397621760,3
5774252,1326889278664658951,4
5794002,18080108,4
5801472,927604589909733376,2
5839882,17026589,3
5850542,21786618,2
5850542,128074569,4
5880102,243821406,2
5959342,15687090,2
5977822,33773592,2
6013662,543799267,2
6035812,1271189444545175558,2
6083342,401775393,2
6097272,44170913,2
6097272,125486974,2
6097272,611278121,4
6097272,1092378031,2
6107302,742143,2
6107302,5988062,2
6107302,14603515,3
6107302,15110431,3
6107302,27404490,2
6107302,34713362,3
