user_id,original_author,nb_retweeted
762,199766003,10
767,34093167,10
767,199766003,10
1605,138234602,6
1605,271449212,6
1688,1214311738578878464,20
2360,956250134786002944,3
2654,19658826,19
2986,963157886,8
3634,21180362,6
3634,34317032,6
3634,366208117,4
3832,486842125,15
3832,1436340748438306823,2
3840,19728230,10
3840,271449212,10
3840,591460575,10
3840,3172374469,10
5808,526871737,2
7694,15742043,4
7694,1428078787728707585,4
9774,956250134786002944,16
10178,14924757,3
10345,1120784001080471552,10
10416,4560407538,2
11364,2785280481,10
11364,1218133859021148160,6
11511,1178717997919330305,10
11511,1179353881752457216,4
11511,1414281950404173830,10
11511,1443052613776199680,4
12301,824720523904978944,10
12428,14850356,6
12750,14050550,2
12917,2944953687,6
13261,34317032,10
13261,246980471,10
13263,34936539,8
13263,1433167613824323588,10
13413,1354833262431133696,2
13581,15578518,4
13602,818278134,10
13621,818340,6
20503,18469669,12
20503,927604589909733376,12
22713,191074329,2
32193,210661912,4
43603,1254412448,10
48903,16465197,6
48903,948104532,2
48903,2594591642,10
48903,1006419421244678144,8
48903,1490139700837097472,6
51943,956250134786002944,3
66393,771152516,2
66873,17107553,2
66873,24078019,2
69053,230014111,8
69053,1639748756,8
69053,718564180094283776,4
69583,1215462115592560640,15
287713,38217974,10
298073,19539716,2
335523,1006419421244678144,2
428333,1507086647363620872,2
458173,788697546,6
476083,861474256386875392,4
483223,2188359224,10
566923,95869752,6
582543,19550262,6
611073,38885578,2
612473,20989465,23
612473,45788514,10
612473,46917675,11
612473,58613026,2
612473,164662932,10
612473,167708017,11
612473,207173384,6
612473,238859552,2
612473,263881113,8
612473,271940563,2
612473,288145125,30
612473,293657298,6
612473,365760012,6
612473,370518890,2
612473,492040007,6
612473,498137972,6
612473,553739165,8
612473,1087110134,6
612473,1170953412,15
612473,2188488030,18
612473,2533101361,13
612473,2879720944,8
612473,2918151781,6
612473,2918471915,10
612473,3046584512,10
612473,3714230715,2
612473,4644406300,6
612473,708052774785835008,2
612473,713180918178058240,10
612473,747443173681676288,2
612473,770212308656283648,6
612473,820410298020532229,2
612473,922544925010464770,6
612473,1014837834237272065,10
612473,1095341197730537479,2
612473,1137996936886267906,15
612473,1173555177724567552,10
612473,1182685833343537152,38
612473,1201124223038771200,2
612473,1210249574398361600,6
612473,1229113764848558080,11
612473,1243221728148496388,2
612473,1261931566999187456,6
612473,1275397481875025921,10
612473,1350349928917311488,58
612473,1360702609665925121,2
612473,1388090084512223235,15
612473,1400966369399787525,6
612473,1421109004923703304,16
612473,1471415318228586499,10
618353,181949222,6
621043,198584761,2
621533,242341151,6
621533,1480624707074461696,4
621573,34903105,10
621573,51547047,6
621573,58613026,6
621573,108995096,30
621573,114547042,20
621573,237291919,15
621573,271940563,12
621573,347810094,2
621573,374871742,15
621573,793347972,4
621573,1473730279,6
621573,2256674930,2
621573,3714230715,12
621573,4566105684,4
621573,764451495555244033,6
621573,1076129354432819200,10
621573,1078363027911704577,20
621573,1201124223038771200,12
621573,1243221728148496388,6
621573,1258041862025289728,10
621573,1269713136174747650,10
621573,1353653771256041472,10
621573,1404922187136577543,2
621573,1461426257275482114,2
621573,1484641594506727431,50
621573,1490755890139516932,2
621573,1499203011066744833,2
621713,1571068567,18
622123,6073052,2
622123,188307938,18
622123,1421490395939213321,8
623033,702426440,8
624413,48047418,16
