user_id,original_author,nb_retweeted
2654,19658826,3
3832,486842125,3
11364,1218133859021148160,2
13263,1433167613824323588,2
69583,1215462115592560640,3
483223,2188359224,2
635553,43412697,2
668563,1215462115592560640,2
715283,2474749586,3
743203,963957084,6
744903,1126207744665640963,5
759126,23303713,2
785691,377867900,3
797835,237244779,2
797975,15129265,2
797975,1019974187975430144,2
797975,1066521202519416833,2
819284,148416446,2
909901,1330461936257957888,2
1044241,751475447897227264,2
1171621,420100653,4
1286821,33773592,2
1709921,15300187,2
1815191,14855994,2
1877831,21454129,2
2063181,18080108,6
2063181,21150492,4
2207861,15393123,2
2258911,139049986,2
2467791,246980471,2
2986671,260478229,2
3058701,2784228956,2
3062691,1639748756,2
3303801,112475924,2
3533231,79749258,2
3554911,33773592,2
3557331,251811013,2
3630501,326369670,2
3925681,14362873,3
3941241,14362873,3
3942881,14362873,3
3943871,14362873,4
4012161,1134059457191776257,2
4218881,38475395,2
4491811,14223960,2
4491811,2365887990,2
4491811,881615056437297152,2
4755321,44170913,2
4893771,2853461537,2
4902991,2984958705,2
4937061,1726074810,3
4937061,1097219137393344515,5
4937571,28585356,2
5045421,38475395,2
5045421,288259199,2
5045421,1215462115592560640,2
5411042,181912222,2
5477342,299273962,3
5618162,755991,2
5647632,2474749586,2
5676952,127881681,2
5774252,60779696,3
5774252,2881494871,2
5774252,919008127793500160,2
5774252,1089151295397621760,2
5774252,1326889278664658951,3
5794002,1148614192116719616,2
5839882,17026589,2
5850542,128074569,2
5864792,211953429,2
6004542,21150492,2
6004542,1081945529112821762,3
6027752,1243927091717996546,2
6092972,1270133776748855304,2
6097272,611278121,3
6107302,742143,2
6107302,807095,2
6107302,5988062,2
6107302,14603515,3
6107302,15110431,2
6107302,23922797,2
6107302,27404490,2
6107302,34713362,2
6107302,783719151684685824,3
6107302,834498430986809344,2
6107392,575211694,4
6425602,1215462115592560640,2
6484742,95869752,2
6567962,3459051,2
6634632,1143160141,2
6692952,195419597,4
6753242,45550539,2
6811252,1303739684,2
7005172,44170913,2
7005172,85760252,6
7005172,3550130533,3
7005172,926309671773683712,2
