user_id,original_author,nb_retweeted
17773,32950484,2
20503,820252180796100608,2
22713,132760539,2
29283,7489012,2
36623,593837736,2
45013,65317936,2
71263,38003,2
73483,632328791,2
73963,4012161,3
458173,1413698887,4
459663,16273831,3
589683,1419366767772712962,2
611073,1441903867394883585,2
628713,1298071845065768966,2
633973,31583101,3
633973,443273166,2
635553,14438014,2
675883,166426325,2
763092,1219316331788374016,2
765133,15088481,2
765621,707231479047315456,3
771619,1483885343153680384,3
788098,742143,2
788098,1652541,2
797835,1160263164078022656,2
797975,260478229,2
797975,1618691779,2
814256,1043629212,2
859081,95275969,2
876081,1322883611306151940,4
1080161,15088481,3
1087701,701070585569353729,2
1128631,837920045401452544,2
1131911,14321959,2
1169321,22140392,2
1171621,150068591,2
1171621,216056059,6
1171621,401775393,9
1171621,420100653,15
1171621,1412646787,3
1171621,2938436843,2
1171621,811229675758505984,2
1171621,816592081200279552,2
1171621,1267300532319711234,2
1291831,32950484,2
1337371,224329419,2
1350901,1423400276581625858,2
1350901,1561295820762533888,3
1397911,3497941,2
1450801,18080108,18
1450801,18809812,4
1450801,20675681,2
1450801,21201150,2
1450801,21440544,3
1450801,26036200,2
1450801,98583506,2
1450801,123504748,7
1450801,275455326,2
1450801,295949271,3
1450801,555370896,2
1450801,1264922120,2
1450801,1392956425,2
1450801,2784228956,6
1450801,707231479047315456,3
1688351,1219316331788374016,3
1914301,3716338821,2
1914301,1320250946916651015,2
1972641,123504748,2
1994321,25049056,2
2052911,216871053,2
2063181,18080108,64
2063181,123504748,2
2063181,707231479047315456,4
2063181,1355721251180961792,2
2108531,1411940738342981637,2
2140011,260478229,2
2224271,53435986,2
2231811,123504748,4
2576461,8197942,2
2622551,3240296269,2
2682771,17264476,3
2729061,5880462,2
2931551,378643551,2
2955691,20675211,2
3250841,242555999,2
3459051,4030991,2
3459051,7009202,3
3459051,7215512,2
3459051,17062028,2
3459051,17534649,4
3459051,23754018,2
3459051,151395664,2
3459051,225065716,2
3459051,1008688766062661632,2
3608071,32950484,2
3630501,14603515,2
3711001,1544145318274469889,3
4016151,2837920041,2
4077671,3459051,2
4077671,874084080,2
4135401,956250134786002944,4
4214321,14377605,2
4491811,32950484,2
4615341,242555999,2
4755321,806144431,2
4937061,86377557,2
4937061,1092096524358537217,3
4937061,1306270346799181826,2
5045421,1655155986,2
5388972,211953429,2
5404442,1375066229896011777,2
5409972,2467791,2
5409972,242555999,2
5411042,1142127602452160512,2
5477342,14855994,2
5477342,32950484,4
5477342,3245069205,3
5477342,811229675758505984,6
5477342,901352038344294400,2
5510112,707231479047315456,2
5511602,1514747048955985924,2
5516892,30354991,2
5516892,1092096524358537217,3
5516892,1349149096909668363,2
5524472,1344951,2
5524472,87818409,2
5659662,380648579,2
5718732,16933019,3
5757962,1892683062,2
5774252,32298304,2
5774252,1326889278664658951,2
5794002,18080108,4
5794002,18809812,2
5794002,21150492,10
5794002,32913997,2
5794002,123504748,7
5794002,707231479047315456,2
5794002,1060632416434434049,7
5794002,1081945529112821762,3
5794002,1085289907130642432,2
5794002,1147808706064728070,2
5818162,901352038344294400,2
5864792,20582958,2
5864792,211953429,2
5864792,344395626,3
5864792,2184934963,9
5864792,2270905347,2
5864792,710844287341170688,4
5864792,956250134786002944,7
5864792,1067109570231889921,3
5864792,1166652661543964672,2
5864792,1167826204910673921,4
5864792,1234894951575519237,8
5871082,1655155986,2
5889372,498753368,2
5889412,15088481,3
5907272,817905062,2
5952352,1109532876310302721,2
5952352,1424179013472309253,3
5952352,1430497892314218502,2
5959342,22419487,2
5959342,526871737,2
5962102,1419366767772712962,2
5977822,96015193,2
5998492,65946380,3
5998492,193653724,2
6004542,21150492,2
6004542,123504748,2
6004542,154041734,2
6013662,543799267,3
6013662,1062468420120145921,2
6044272,15305044,2
6073052,943906396180905984,2
6102652,701725963,2
6107302,621573,2
6107302,807095,2
6107302,1652541,4
6107302,8963722,2
6107302,14293310,2
6107302,14603515,2
6107302,16117029,2
6107302,20582958,2
6107302,26012202,2
6107302,34713362,2
6107302,87818409,3
6107302,162118290,2
6107302,195419597,2
6107302,295793915,4
6107302,2479789014,2
6107302,4196031009,2
6107302,783719151684685824,4
6107302,811229675758505984,2
6107392,575211694,4
6107422,1523982815368515585,2
6144142,1122396073555660800,2
6165492,16106584,2
6195402,2494186513,2
6195402,967810396483674112,2
6246462,20662440,2
6266142,4012161,2
6278942,1510780961281409025,3
6321752,591211894,2
6328342,16379018,2
6456052,1299007622968901637,2
6467242,916340780,2
6477792,811229675758505984,2
6510642,15489945,2
6510642,260478229,2
6510642,1489776218,2
6510642,1240233117543211008,3
6515122,1252520990,2
6531902,1006419421244678144,2
6531902,1234894951575519237,2
6617982,1073047860260814848,2
6634632,11620892,2
6637982,1001285146392383489,2
6684492,999925631231049729,2
6684742,420810311,2
6684742,1419366767772712962,2
6692952,3459051,3
6692952,4012161,2
6692952,20582958,5
6692952,260478229,2
6692952,1101161509,2
6692952,3245069205,2
6692952,811229675758505984,2
6692952,1390558489915842567,2
6692952,1580969665819512832,2
6710782,32950484,2
6758782,238848438,2
6761562,5880462,2
6863692,246621297,2
6863692,755135678422327296,3
6863692,855483824351924224,2
6931502,417966375,2
6975452,20662440,2
6975452,332754598,2
7001342,5477342,2
7005172,1101161509,2
7005172,2300691618,2
7005172,901352038344294400,4
7005172,956250134786002944,2
7044082,2837920041,2
7101812,588005511,2
7109282,1092096524358537217,2
7227662,18809812,2
7227662,21150492,2
7248362,66126175,2
7248362,3315017925,3
7248362,3419251203,2
7262682,12588712,2
7262682,32950484,4
7262682,166426325,2
7262682,2184934963,3
7262682,3245069205,5
